Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.6355140186915887,0.6384328358208955,0.6384328358208956,0.6412452375525091,0.1152791976928711
AdaBoostClassifier,0.616822429906542,0.6235074626865671,0.6235074626865671,0.6230197388692195,1.3029119968414307
BernoulliNB,0.5981308411214953,0.6136194029850747,0.6136194029850747,0.6041505571325398,0.014829874038696289
LabelPropagation,0.6728971962616822,0.6128731343283582,0.6128731343283582,0.6516194712895459,0.015556097030639648
LabelSpreading,0.6728971962616822,0.6128731343283582,0.6128731343283582,0.6516194712895459,0.015562057495117188
RandomForestClassifier,0.6074766355140186,0.6110074626865671,0.6110074626865671,0.6137715576101944,0.35234999656677246
SVC,0.5887850467289719,0.6061567164179105,0.6061567164179105,0.5946450768512368,0.08147907257080078
KNeighborsClassifier,0.5981308411214953,0.5833955223880597,0.5833955223880597,0.6021623602712114,0.013467788696289062
NearestCentroid,0.5514018691588785,0.5813432835820895,0.5813432835820895,0.5542252140382982,0.014825820922851562
DecisionTreeClassifier,0.5887850467289719,0.5759328358208955,0.5759328358208955,0.5934919039339274,0.18337583541870117
GaussianNB,0.514018691588785,0.5716417910447762,0.5716417910447762,0.5001677112997954,0.013957023620605469
NuSVC,0.5514018691588785,0.5712686567164179,0.5712686567164178,0.5569109690113134,0.061888694763183594
XGBClassifier,0.5700934579439252,0.566044776119403,0.566044776119403,0.5766422135128798,0.5166018009185791
BaggingClassifier,0.5887850467289719,0.5557835820895523,0.5557835820895523,0.5865366995108612,0.9192028045654297
LGBMClassifier,0.5420560747663551,0.5436567164179105,0.5436567164179105,0.5494626147461404,0.37319111824035645
LinearSVC,0.5046728971962616,0.533955223880597,0.533955223880597,0.5068368425995109,0.4881479740142822
SGDClassifier,0.5420560747663551,0.528544776119403,0.5285447761194031,0.5478586043647542,0.026801109313964844
RidgeClassifier,0.4953271028037383,0.5264925373134328,0.5264925373134328,0.49647328513489686,0.015287160873413086
LinearDiscriminantAnalysis,0.5046728971962616,0.5188432835820895,0.5188432835820895,0.5112859599653585,0.04436826705932617
DummyClassifier,0.6261682242990654,0.5,0.5,0.4822215060693952,0.013239860534667969
RidgeClassifierCV,0.4485981308411215,0.4891791044776119,0.4891791044776119,0.4426177379629879,0.030629873275756836
ExtraTreeClassifier,0.4953271028037383,0.4861940298507462,0.4861940298507462,0.503014772384685,0.013520956039428711
QuadraticDiscriminantAnalysis,0.514018691588785,0.4658582089552239,0.46585820895522384,0.5047306318334356,0.03615999221801758
LogisticRegression,0.4485981308411215,0.4639925373134328,0.4639925373134328,0.4546856306671111,0.02314281463623047
CalibratedClassifierCV,0.5700934579439252,0.4602611940298508,0.4602611940298507,0.46822805239650184,1.8445148468017578
PassiveAggressiveClassifier,0.4485981308411215,0.3985074626865671,0.3985074626865671,0.4401353683408413,0.034844160079956055
Perceptron,0.4392523364485981,0.38097014925373135,0.3809701492537313,0.4238953973059541,0.018262624740600586
