Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BaggingClassifier,0.5794392523364486,0.548320895522388,0.548320895522388,0.578335107851256,0.9883897304534912
KNeighborsClassifier,0.5514018691588785,0.5460820895522388,0.5460820895522388,0.5582353532308311,0.01584172248840332
BernoulliNB,0.5700934579439252,0.5458955223880597,0.5458955223880597,0.5720793529090771,0.015772104263305664
DecisionTreeClassifier,0.5327102803738317,0.5210820895522388,0.5210820895522389,0.5391161279011746,0.17596077919006348
XGBClassifier,0.5327102803738317,0.516044776119403,0.516044776119403,0.5380589817430993,0.661273717880249
NuSVC,0.5233644859813084,0.5136194029850747,0.5136194029850747,0.5303051559382547,0.06572699546813965
SGDClassifier,0.4953271028037383,0.5013059701492537,0.5013059701492537,0.5031680658957707,0.02681899070739746
LabelPropagation,0.6261682242990654,0.5,0.5,0.4822215060693952,0.015506982803344727
LabelSpreading,0.6261682242990654,0.5,0.5,0.4822215060693952,0.015601158142089844
DummyClassifier,0.6261682242990654,0.5,0.5,0.4822215060693952,0.012105941772460938
RandomForestClassifier,0.5420560747663551,0.4983208955223881,0.498320895522388,0.5350276787915462,0.39940404891967773
Perceptron,0.4953271028037383,0.4962686567164179,0.49626865671641796,0.5034698747265858,0.03250408172607422
CalibratedClassifierCV,0.616822429906542,0.4925373134328358,0.4925373134328358,0.4777699746096915,1.7839889526367188
RidgeClassifier,0.4766355140186916,0.4914179104477612,0.4914179104477612,0.4830627971798656,0.015952110290527344
NearestCentroid,0.5233644859813084,0.48843283582089553,0.4884328358208956,0.5221131222314234,0.019950151443481445
LinearDiscriminantAnalysis,0.4766355140186916,0.4863805970149254,0.4863805970149253,0.4840937341743014,0.04746603965759277
GaussianNB,0.5233644859813084,0.4833955223880597,0.4833955223880597,0.5192980155801631,0.013901948928833008
PassiveAggressiveClassifier,0.4672897196261682,0.4789179104477612,0.4789179104477612,0.47440188147217804,0.0812828540802002
QuadraticDiscriminantAnalysis,0.4766355140186916,0.4763059701492537,0.47630597014925374,0.48507987008682973,0.035515785217285156
LGBMClassifier,0.4953271028037383,0.4710820895522388,0.47108208955223885,0.49957892574715007,0.364544153213501
LogisticRegression,0.4485981308411215,0.458955223880597,0.45895522388059706,0.45595984222558783,0.024512052536010742
LinearSVC,0.4392523364485981,0.4565298507462687,0.4565298507462687,0.44465169245268205,0.4381141662597656
ExtraTreeClassifier,0.4953271028037383,0.45597014925373136,0.45597014925373136,0.4925677675815114,0.013300180435180664
AdaBoostClassifier,0.4953271028037383,0.45597014925373136,0.45597014925373136,0.4925677675815114,1.3395249843597412
ExtraTreesClassifier,0.5046728971962616,0.4533582089552239,0.4533582089552239,0.49321969108849045,0.1261448860168457
SVC,0.5046728971962616,0.4483208955223881,0.448320895522388,0.48886614241359533,0.08162999153137207
RidgeClassifierCV,0.411214953271028,0.42910447761194026,0.42910447761194026,0.415952836967264,0.031320810317993164
