Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.5420560747663551,0.5638059701492537,0.5638059701492537,0.5471117949608211,0.015746116638183594
NearestCentroid,0.5327102803738317,0.5361940298507463,0.5361940298507463,0.540249884006098,0.014349222183227539
DecisionTreeClassifier,0.5046728971962616,0.5037313432835822,0.503731343283582,0.5126840526846008,0.15345406532287598
GaussianNB,0.514018691588785,0.5011194029850746,0.5011194029850746,0.5206807730172216,0.013772010803222656
DummyClassifier,0.6261682242990654,0.5,0.5,0.4822215060693952,0.012676000595092773
LabelPropagation,0.6261682242990654,0.5,0.5,0.4822215060693952,0.016308307647705078
LabelSpreading,0.6261682242990654,0.5,0.5,0.4822215060693952,0.016883373260498047
SVC,0.5794392523364486,0.49794776119402984,0.4979477611940299,0.5330832945841403,0.08516883850097656
CalibratedClassifierCV,0.616822429906542,0.49757462686567167,0.4975746268656716,0.4934218470177472,0.12116098403930664
ExtraTreeClassifier,0.514018691588785,0.49608208955223876,0.49608208955223887,0.5195813410128233,0.013670921325683594
SGDClassifier,0.514018691588785,0.49608208955223876,0.49608208955223887,0.5195813410128233,0.019611120223999023
QuadraticDiscriminantAnalysis,0.4672897196261682,0.48899253731343284,0.48899253731343284,0.471576376303715,0.03668498992919922
NuSVC,0.5327102803738317,0.48582089552238805,0.48582089552238805,0.5237794536859958,0.06572294235229492
RidgeClassifier,0.48598130841121495,0.47873134328358213,0.4787313432835821,0.49406379654841015,0.015315055847167969
Perceptron,0.4953271028037383,0.47611940298507466,0.4761194029850746,0.5011037002825472,0.019154071807861328
LinearSVC,0.48598130841121495,0.47369402985074627,0.47369402985074627,0.49346634463929434,0.04745078086853027
BaggingClassifier,0.5420560747663551,0.473134328358209,0.4731343283582089,0.5122672598053644,0.8773391246795654
RidgeClassifierCV,0.4766355140186916,0.47126865671641793,0.47126865671641793,0.4850287434802593,0.03063511848449707
KNeighborsClassifier,0.5046728971962616,0.4684701492537313,0.4684701492537313,0.5033724603581459,0.013498067855834961
AdaBoostClassifier,0.45794392523364486,0.4613805970149254,0.4613805970149254,0.46636570040656844,1.0104310512542725
PassiveAggressiveClassifier,0.4766355140186916,0.46119402985074626,0.4611940298507462,0.4838100632493156,0.032685041427612305
LinearDiscriminantAnalysis,0.4392523364485981,0.4565298507462687,0.4565298507462687,0.44465169245268205,0.04578709602355957
ExtraTreesClassifier,0.5046728971962616,0.4533582089552239,0.4533582089552239,0.49321969108849045,0.12223124504089355
XGBClassifier,0.4485981308411215,0.4488805970149254,0.44888059701492533,0.4573776387091974,0.38563084602355957
RandomForestClassifier,0.5233644859813084,0.448134328358209,0.4481343283582089,0.48588699575887795,0.3423590660095215
LogisticRegression,0.45794392523364486,0.43619402985074623,0.43619402985074623,0.46414841882199526,0.017066001892089844
LGBMClassifier,0.4485981308411215,0.4236940298507462,0.4236940298507462,0.45412975013956897,0.31174802780151367
