Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
SVC,0.6894308943089431,0.6786511360979446,0.6786511360979446,0.6808340507250805,2.751504898071289
LGBMClassifier,0.6796747967479675,0.6720460390673156,0.6720460390673156,0.6752580626462347,1.3465969562530518
RandomForestClassifier,0.6764227642276422,0.6664930813866984,0.6664930813866984,0.6689110183486879,2.7043168544769287
XGBClassifier,0.6731707317073171,0.6664240015303845,0.6664240015303846,0.6696773166538083,1.4760189056396484
ExtraTreesClassifier,0.6699186991869919,0.6606425489404213,0.6606425489404213,0.6632742493761572,0.5980079174041748
NuSVC,0.6617886178861788,0.6560141985673901,0.65601419856739,0.6592028261028449,3.134775161743164
GaussianNB,0.6504065040650406,0.6458328905137416,0.6458328905137416,0.6488157456273238,0.048804283142089844
NearestCentroid,0.6422764227642277,0.6398335706846345,0.6398335706846344,0.6419965823822741,0.04667305946350098
BernoulliNB,0.6373983739837399,0.6329893510744574,0.6329893510744575,0.6359261222905193,0.0664210319519043
AdaBoostClassifier,0.6373983739837399,0.6300189172529598,0.6300189172529598,0.632977658629548,5.331234931945801
KNeighborsClassifier,0.6260162601626016,0.6278349310264204,0.6278349310264204,0.6263644243619297,0.10283207893371582
BaggingClassifier,0.6276422764227643,0.6268412438625205,0.6268412438625206,0.6279444531156629,9.834854125976562
DecisionTreeClassifier,0.616260162601626,0.616659935808872,0.616659935808872,0.6167275234558667,1.3877840042114258
RidgeClassifierCV,0.5983739837398374,0.5944587327566051,0.5944587327566051,0.5972804674593293,0.2872300148010254
RidgeClassifier,0.5967479674796748,0.5922534911896614,0.5922534911896613,0.5952061214729794,0.06198596954345703
LinearDiscriminantAnalysis,0.5951219512195122,0.5905052394414096,0.5905052394414096,0.593478046862508,0.27683305740356445
SGDClassifier,0.5934959349593496,0.5901279571492337,0.5901279571492337,0.5927808691732973,0.2710399627685547
LinearSVC,0.5902439024390244,0.58891640274619,0.58891640274619,0.5904852833740726,9.950477123260498
Perceptron,0.5869918699186992,0.5845059196123026,0.5845059196123026,0.5867853746406917,0.09761714935302734
LogisticRegression,0.5869918699186992,0.5840489297936107,0.5840489297936107,0.5865432635541613,0.11469292640686035
PassiveAggressiveClassifier,0.5804878048780487,0.5768274278912577,0.5768274278912577,0.5795950257889676,0.15944600105285645
CalibratedClassifierCV,0.5804878048780487,0.5624322486024613,0.5624322486024613,0.5493106071411591,42.759644985198975
ExtraTreeClassifier,0.5528455284552846,0.5464216634429401,0.5464216634429401,0.5492858505536579,0.04401397705078125
QuadraticDiscriminantAnalysis,0.5577235772357724,0.5244755244755245,0.5244755244755245,0.42190191450301606,0.3207690715789795
DummyClassifier,0.5349593495934959,0.5,0.5,0.3728848008819072,0.036676883697509766
LabelSpreading,0.46504065040650405,0.5,0.5,0.29523113433132114,0.11896800994873047
LabelPropagation,0.46504065040650405,0.5,0.5,0.29523113433132114,0.11181998252868652
